"sciopero","Labor strike or walkout, especially organized by a union","strike"
"debole","Lacking strength, physically or emotionally","weak"
"pesante","Heavy, burdensome, emotionally or physically","heavy"
"figurati","Used to say 'Don’t mention it' or 'Go figure' depending on context","go figure"
"poltrone","Padded armchair; can also mean a lazy person (figurative)","armchair"
"desideri","Desires, wishes (plural of 'desiderio')","desires"
"volto","Face; also the past participle of 'volgere' meaning turned","face / turned"
"volta","Time/occasion (e.g., 'una volta'); also used for 'turn'","turn / time"
"travolta","Overturned / overwhelmed (past participle, feminine)","overturned"
"svolgere","To carry out, develop, or unfold","carry out"
"scivolo","Slide (as in playground equipment or ramp)","slide"
"scafato","Experienced, shrewd, street-smart (informal)","scuffed"
"gradevole","Pleasant, agreeable","pleasant"
"contadino","Farmer or peasant","peasant"
"opposto","Opposite (adjective or noun)","opposite"
